,nodeA,nodeB,weight
591,Neil Cavuto,Reagan,1
592,Helmut Kohl,Neil Cavuto,1
593,Glenn Kessler,Neil Cavuto,1
594,Kessler,Neil Cavuto,2
595,Neil Cavuto,Richard Nixon,1
596,Neil Cavuto,Zhou Enlai,1
597,Mao,Neil Cavuto,1
598,Neil Cavuto,Nixon,1
599,Lauer,Neil Cavuto,1
600,Neil Cavuto,Ted Cruz,1
601,Gadhafi,Neil Cavuto,2
602,Neil Cavuto,Rachel Maddow,1
603,Maddow,Neil Cavuto,3
604,Cavuto,Cavuto,1
605,Cavuto,Chris Matthews,2
606,Cavuto,Joe Scarborough,2
607,Cavuto,George W. Bush,2
608,Bush,Cavuto,8
609,Cavuto,Condoleezza Rice,2
610,Cavuto,Nouri al-Maliki,2
611,Cavuto,Leon Panetta,2
612,Cavuto,Maliki,2
613,Cavuto,Raul Castro,2
614,Cavuto,Salman,2
615,Cavuto,Ronald Reagan,2
616,Cavuto,Reagan,2
617,Cavuto,Helmut Kohl,2
618,Cavuto,Glenn Kessler,2
619,Cavuto,Kessler,4
620,Cavuto,Richard Nixon,2
621,Cavuto,Zhou Enlai,2
622,Cavuto,Mao,2
623,Cavuto,Nixon,2
624,Cavuto,Lauer,2
625,Cavuto,Ted Cruz,2
626,Cavuto,Gadhafi,4
627,Cavuto,Rachel Maddow,2
628,Cavuto,Maddow,6
629,Chris Matthews,Joe Scarborough,1
630,Chris Matthews,George W. Bush,1
631,Bush,Chris Matthews,4
632,Chris Matthews,Condoleezza Rice,1
633,Chris Matthews,Nouri al-Maliki,1
634,Chris Matthews,Leon Panetta,1
635,Chris Matthews,Maliki,1
636,Chris Matthews,Raul Castro,1
637,Chris Matthews,Salman,1
638,Chris Matthews,Ronald Reagan,1
639,Chris Matthews,Reagan,1
640,Chris Matthews,Helmut Kohl,1
641,Chris Matthews,Glenn Kessler,1
642,Chris Matthews,Kessler,2
643,Chris Matthews,Richard Nixon,1
644,Chris Matthews,Zhou Enlai,1
645,Chris Matthews,Mao,1
646,Chris Matthews,Nixon,1
647,Chris Matthews,Lauer,1
648,Chris Matthews,Ted Cruz,1
649,Chris Matthews,Gadhafi,2
650,Chris Matthews,Rachel Maddow,1
651,Chris Matthews,Maddow,3
652,George W. Bush,Joe Scarborough,1
653,Bush,Joe Scarborough,4
654,Condoleezza Rice,Joe Scarborough,1
655,Joe Scarborough,Nouri al-Maliki,1
656,Joe Scarborough,Leon Panetta,1
657,Joe Scarborough,Maliki,1
658,Joe Scarborough,Raul Castro,1
659,Joe Scarborough,Salman,1
660,Joe Scarborough,Ronald Reagan,1
661,Joe Scarborough,Reagan,1
662,Helmut Kohl,Joe Scarborough,1
663,Glenn Kessler,Joe Scarborough,1
664,Joe Scarborough,Kessler,2
665,Joe Scarborough,Richard Nixon,1
666,Joe Scarborough,Zhou Enlai,1
667,Joe Scarborough,Mao,1
668,Joe Scarborough,Nixon,1
669,Joe Scarborough,Lauer,1
670,Joe Scarborough,Ted Cruz,1
671,Gadhafi,Joe Scarborough,2
672,Joe Scarborough,Rachel Maddow,1
673,Joe Scarborough,Maddow,3
674,Bush,George W. Bush,41
675,Condoleezza Rice,George W. Bush,1
676,George W. Bush,Nouri al-Maliki,1
677,George W. Bush,Leon Panetta,1
678,George W. Bush,Maliki,1
679,George W. Bush,Raul Castro,1
680,George W. Bush,Salman,1
681,George W. Bush,Ronald Reagan,1
682,George W. Bush,Reagan,2
683,George W. Bush,Helmut Kohl,1
684,George W. Bush,Glenn Kessler,1
685,George W. Bush,Kessler,2
686,George W. Bush,Richard Nixon,1
687,George W. Bush,Zhou Enlai,1
688,George W. Bush,Mao,1
689,George W. Bush,Nixon,1
690,George W. Bush,Lauer,1
691,George W. Bush,Ted Cruz,12
692,Gadhafi,George W. Bush,2
693,George W. Bush,Rachel Maddow,1
694,George W. Bush,Maddow,3
695,Bush,Bush,108
696,Bush,Condoleezza Rice,4
697,Bush,Nouri al-Maliki,4
698,Bush,Leon Panetta,4
699,Bush,Maliki,4
700,Bush,Raul Castro,4
701,Bush,Salman,4
702,Bush,Ronald Reagan,4
703,Bush,Reagan,5
704,Bush,Helmut Kohl,4
705,Bush,Glenn Kessler,4
706,Bush,Kessler,8
