,degree,betweenness,eigenvector
DELETE,0.002793296089385475,0.0,0.012000658191436532
Leonard Nimoy,0.002793296089385475,0.0,0.012000658191436532
Nurse Kaci Hickox,0.002793296089385475,0.0,0.012000658191436532
Elian Gonzalez,0.002793296089385475,0.0,0.012000658191436532
Hillary Hellfire,0.002793296089385475,0.0,0.012000658191436532
Bergdahl,0.002793296089385475,0.0,0.012000658191436532
Berkley,0.002793296089385475,0.0,0.012000658191436532
Eric Shinseki,0.002793296089385475,0.0,0.012000658191436532
meth,0.002793296089385475,0.0,0.012000658191436532
Netflix,0.002793296089385475,0.0,0.012000658191436532
Al Sharpton,0.002793296089385475,0.0,0.012000658191436532
anti-gay,0.002793296089385475,0.0,0.012000658191436532
Mardi Gras,0.002793296089385475,0.0,0.012000658191436532
Broncos,0.002793296089385475,0.0,0.012000658191436532
Feminist,0.002793296089385475,0.0,0.012000658191436532
Henry Waxman,0.002793296089385475,0.0,0.012000658191436532
Marianne Williamson,0.002793296089385475,0.0,0.012000658191436532
Kim,0.002793296089385475,0.0,0.012000658191436532
Mandela,0.002793296089385475,0.0,0.012000658191436532
Kim Jong Un,0.002793296089385475,0.0,0.012000658191436532
Trayvon,0.002793296089385475,0.0,0.012000658191436532
George,0.002793296089385475,0.0,0.012000658191436532
Carlos Danger',0.002793296089385475,0.0,0.012000658191436532
Rachael Jeantel',0.002793296089385475,0.0,0.012000658191436532
Schumer,0.002793296089385475,0.0,0.012000658191436532
Janet Napolitano,0.002793296089385475,0.0,0.012000658191436532
Mary Landrieu,0.002793296089385475,0.0,0.012000658191436532
Susan Rice,0.002793296089385475,0.0,0.012000658191436532
Pinocchio,0.002793296089385475,0.0,0.012000658191436532
Jason Collins,0.002793296089385475,0.0,0.012000658191436532
Francis,0.002793296089385475,0.0,0.012000658191436532
Sequester,0.002793296089385475,0.0,0.012000658191436532
Hugo Chavez,0.002793296089385475,0.0,0.012000658191436532
pretends banana,0.002793296089385475,0.0,0.012000658191436532
Joe Salazar,0.002793296089385475,0.0,0.012000658191436532
Bloomberg,0.002793296089385475,0.0,0.012000658191436532
Karl Rove,0.002793296089385475,0.0,0.012000658191436532
Paul Krugman's,0.002793296089385475,0.0,0.012000658191436532
Saul Alinsky,0.002793296089385475,0.0,0.012000658191436532
Michael Moore,0.002793296089385475,0.0,0.012000658191436532
Chimney,0.002793296089385475,0.0,0.012000658191436532
Moon,0.002793296089385475,0.0,0.012000658191436532
Jesus,0.002793296089385475,0.0,0.012000658191436532
Steven Chu,0.002793296089385475,0.0,0.012000658191436532
Benedict Arnold,0.002793296089385475,0.0,0.012000658191436532
Tim,0.002793296089385475,0.0,0.006316958994797714
Rick Perry,0.002793296089385475,0.0,0.006288166809501566
Hector De Leon,0.002793296089385475,0.0,0.006288166809501566
De Leon,0.002793296089385475,0.0,0.006288166809501566
Lionel Sosa,0.002793296089385475,0.0,0.006288166809501566
Sosa,0.002793296089385475,0.0,0.006288166809501566
Sylvia Manzano,0.002793296089385475,0.0,0.006288166809501566
Manzano,0.002793296089385475,0.0,0.006288166809501566
Columba,0.002793296089385475,0.0,0.006288166809501566
P. Bush,0.002793296089385475,0.0,0.006288166809501566
George P. ,0.002793296089385475,0.0,0.006288166809501566
Tony Sanchez,0.002793296089385475,0.0,0.006288166809501566
Kelly Ayotte,0.002793296089385475,0.0,0.004411864204633305
Joni Ernst,0.002793296089385475,0.0,0.004411864204633305
Ernst,0.002793296089385475,0.0,0.004411864204633305
Maggie Hassan,0.002793296089385475,0.0,0.004411864204633305
Angela Merkel,0.002793296089385475,0.0,0.004411864204633305
Jeanne Shaheen,0.002793296089385475,0.0,0.004411864204633305
Peter Kuhn,0.002793296089385475,0.0,0.004411864204633305
Marie-Claire Villeval.,0.002793296089385475,0.0,0.004411864204633305
Stefano Gagliarducci,0.002793296089385475,0.0,0.004411864204633305
